# Serial Log - 2026-04-11T15:45:25.750008
# Port: COM24 @ 115200bps
#============================================================
[15:45:45.593] -1811.00,-4413.00,360.00
[15:45:45.631] -1813.00,-4613.00,-110.00
[15:45:45.672] -1808.00,-4718.00,-412.00
[15:45:45.712] -1652.00,-4751.00,-745.00
[15:45:45.752] -1567.00,-4747.00,-976.00
[15:45:45.792] -1523.00,-4735.00,-1128.00
[15:45:45.832] -1470.00,-4697.00,-1288.00
[15:45:45.871] -1491.00,-4725.00,-1407.00
[15:45:45.913] -1506.00,-4716.00,-1446.00
[15:45:45.951] -1508.00,-4701.00,-1471.00
[15:45:45.991] -1506.00,-4701.00,-1490.00
[15:45:46.031] -1473.00,-4673.00,-1512.00
[15:45:46.071] -1496.00,-4685.00,-1526.00
[15:45:46.113] -1496.00,-4685.00,-1526.00
[15:45:46.152] -1491.00,-4692.00,-1531.00
[15:45:46.191] -1483.00,-4685.00,-1517.00
[15:45:46.231] -1491.00,-4692.00,-1531.00
[15:45:46.273] -1476.00,-4680.00,-1520.00
[15:45:46.312] -1483.00,-4690.00,-1522.00
[15:45:46.353] -1498.00,-4673.00,-1510.00
[15:45:46.392] -1481.00,-4690.00,-1528.00
[15:45:46.433] -1473.00,-4680.00,-1515.00
[15:45:46.474] -1481.00,-4687.00,-1517.00
[15:45:46.513] -1483.00,-4685.00,-1526.00
[15:45:46.551] -1498.00,-4682.00,-1531.00
[15:45:46.591] -1478.00,-4680.00,-1536.00
[15:45:46.633] -1486.00,-4690.00,-1538.00
[15:45:46.672] -1488.00,-4695.00,-1520.00
[15:45:46.712] -1481.00,-4685.00,-1522.00
[15:45:46.740] -1483.00,-4695.00,-1531.00
[15:45:46.793] -1501.00,-4692.00,-1526.00
[15:45:46.833] -1486.00,-4682.00,-1538.00
[15:45:46.872] -1486.00,-4685.00,-1520.00
[15:45:46.911] -1501.00,-4692.00,-1531.00
